Station Name,Street Address,Intersection Directions,City,State,ZIP,Station Phone,Extension/Second Number,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,EV Connector Types,Access Code,Access Detail Code,EV Pricing,EV On-Site Renewable Source,Restricted Access,Maximum Vehicle Class,EV Workplace Charging
City of Coquitlam - The Tennis Centre,1650 Foster Avenue,,Coquitlam,BC,V3J 7X1,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,49.255786,-122.848399,2026-06-29,156330,J1772,public,,Price Information not available,,0,,0
BSR - Lachine - École Dalbé-Viau,1650 Provost,,Lachine,QC,H8S 1P1,855-999-8378,,,,,4,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.442074,-73.678897,2026-06-29,396165,J1772,public,,Price Information not available,,0,,0
Commission des Normes de l'Equite de la Sante et de la Securite du Travail,1650 rue King Ouest,,Sherbrooke,QC,J1J 2C3,,,24 hours daily; For employee use only,,,2,,Non-Networked,,GPS,45.39820191,-71.91593444,2025-12-12,421329,J1772COMBO,private,,Free,,,LD,1
SWTCH Energy,1650 Victoria St E,,Whitby,ON,L1N 9M3,,,,A D Debit M V,,1,,SWTCH,https://swtchenergy.com,GPS,43.8680527,-78.9033185,2025-11-13,435952,J1772,private,,Free,,,LD,0
St-Hubert - St-Georges,"16505, Boulevard Lacroix",,Saint-Georges,QC,G5Y 2G2,855-999-8378,,,,,1,,Circuit électrique,https://lecircuitelectrique.com,GPS,46.098778,-70.6515802,2026-06-29,305930,J1772,public,,Price Information not available,,0,,0
First Capital Asset Management LP,1654 McKenzie Ave,,Calgary,AB,V8N 0A4,,,24 hours daily,,,2,,Non-Networked,,GPS,51.12412219,-114.2482237,2025-10-13,249453,J1772,public,,Price Information not available,,0,LD,0
DUPONT JHI DUPONT JUNCTION,1655 Dupont St,"Beside Apple Storage office door, in front of gym windows",Toronto,ON,M6P 3T1,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.664227,-79.456116,2026-06-29,232064,J1772,public,,Price Information not available,,0,,0
"Canadian Tire 353 (Kelowna, BC)",1655 Leckie Rd,,Kelowna,BC,V1X 6E4,833-231-3226,,24 hours daily,,,,4,Electrify Canada,https://www.electrify-canada.ca,GPS,49.88444,-119.42777,2026-06-29,189162,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
METRO - Tecumseh Store,1655 Manning Road Unit 1,,Tecumseh,ON,N8N 2L9,888-356-8911,,24 hours daily,,,4,,FLO,https://www.flo.com,GPS,42.308918,-82.870616,2026-06-29,165342,J1772,public,,Price Information not available,,0,,0
SCUGOG EV SCRC #1,1655 Reach St,To the left of the front entrance to the arena,Port Perry,ON,L9L 1P2,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,44.111354,-78.959954,2026-06-29,236805,J1772,public,,Price Information not available,,0,,0
South Surrey Operations Centre,16555 Fraser Highway,,Surrey,BC,V4N 0E9,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,49.044376,-122.76243,2026-06-29,347514,J1772,public,,Price Information not available,,0,,0
BC Hydro - Surrey - Sport & Leisure Complex,16555 Fraser Hwy #110,,Surrey,BC,V4N 0E9,866-338-3369,,24 hours daily,,,,8,BCHYDRO,https://electricvehicles.bchydro.com/charge/public-charging/our-fast-charging-network,GPS,49.1528012,-122.7640682,2026-06-29,356193,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
BC Hydro - Mount Terry Fox Rest Area,"16565 Hwy 16, Mount Robson",,Fraser-Fort George H,BC,V0E 2Z0,866-338-3369,,24 hours daily,,,1,2,BCHYDRO,https://electricvehicles.bchydro.com/charge/public-charging/our-fast-charging-network,GPS,52.98026357,-119.3198302,2026-06-29,434938,CHADEMO J1772 J1772COMBO,public,,Price Information not available,,0,,0
BRCC - Plessisville - Desjardins,"1658 A, Rue Saint Calixte",,Plessisville,QC,G6L 1P9,855-999-8378,,,,,,2,Circuit électrique,https://lecircuitelectrique.com,GPS,46.218269,-71.771772,2026-06-29,304843,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
CSSDA - École secondaire des Trois Saisons,1658 Boulevard des Seigneurs,,Terrebonne,QC,J6X 4T1,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,45.713968,-73.671761,2026-06-29,168185,J1772,public,,Price Information not available,,0,,0
Desjardins - L'Érable,"1658, rue St-Calixte",,Plessisville,QC,G6L 2Y7,855-999-8378,,,,,1,,Circuit électrique,https://lecircuitelectrique.com,GPS,46.218269,-71.772363,2026-06-29,305303,J1772,public,,Price Information not available,,0,,0
STONEWALL STATION 2,166 Main St,in the parking lot,Stonewall,MB,R0C 2Z0,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,50.140588,-97.325767,2026-06-29,232327,J1772,public,,Price Information not available,,0,,0
BRUCEGROUP BRUCEHONDA,166 Starrs Rd,,Yarmouth,NS,B5A 5J7,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.83669,-66.08872,2026-06-29,238492,J1772,public,,Price Information not available,,0,,0
GreenP - CP183 - 166 Woodbine Ave,166 Woodbine Ave,,Toronto,ON,M4L 2A2,888-356-8911,,24 hours daily,,,6,,FLO,https://www.flo.com,GPS,43.668283,-79.306004,2026-06-29,311656,J1772,public,,Price Information not available,,0,,0
MARCELLO MOUNTAIN MITSU,1660 Upper James St,North Side of Showroom,Hamilton,ON,L9B 1K5,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.200968,-79.89479,2026-06-29,162933,J1772,public,,Price Information not available,,0,,0
1660 Centre,1660A Centre,,Montréal,QC,H3K 1G4,855-999-8378,,,,,2,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.484356,-73.559822,2026-06-29,304567,J1772,public,,Price Information not available,,0,,0
Delpark Homes Centre,1661 Harmony Rd N,,Oshawa,ON,L1H 7K5,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,43.9491333,-78.8520501,2026-06-29,226838,J1772,public,,Price Information not available,,0,,0
City of Vancouver,1661 Napier St,,Vancouver,BC,V5L 3X1,,,24 hours daily,EFS,,2,,Non-Networked,,GPS,49.2750552,-123.0726027,2025-10-13,84432,J1772,public,,$2 per hour,,0,LD,0
Municipalité de Saint-Théodore-d'Acton,1661 Rue Principale,,Saint-Théodore-d'Acton,QC,J0H 1Z0,855-999-8378,,,,,2,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.685238,-72.582801,2026-06-29,305634,J1772,public,,Price Information not available,,0,,0
SWTCH Energy Inc.,16615 109 Ave NW,,Edmonton,AB,T5P 4K8,844-798-2438,,24 hours daily,A D Debit M V,,6,,SWTCH,https://swtchenergy.com,GPS,53.5549,-113.608,2024-02-12,325840,J1772,public,,Price Information not available,,0,,0
SWTCH Energy,16615 109 Ave NW,,Edmonton,AB,T5P 4K8,,,24 hours daily; for client use only,,,2,,SWTCH,https://swtchenergy.com,GPS,53.55490112,-113.6080017,2025-11-13,435953,J1772,public,,Free,,1,LD,0
Municipalité de Saint-Côme -  Bureau d'accueil touristique,1661A rue Principale,,Saint-Côme,QC,J0K 2B0,855-999-8378,,,,,4,,Circuit électrique,https://lecircuitelectrique.com,GPS,46.27058,-73.774238,2026-06-29,351593,J1772,public,,Price Information not available,,0,,0
FACILITIES  JCCC2101,1663 North Service Rd E,,Oakville,ON,L6H 7T1,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.492016,-79.676575,2026-06-29,197557,J1772,public,,Price Information not available,,0,,0
TD Canada Trust,1663 Richmond St,,London,ON,N6G 2N3,519-660-0070,,24 hours daily,,,2,,Non-Networked,,200-9,43.0251,-81.2824,2019-11-08,84924,J1772,public,,Free,,0,,0
CITYOFVANCOUVER COMMERCIAL DC1,1664 E 11th Ave,,Vancouver,BC,V5N 1Y7,888-758-4389,,24 hours daily,,,,1,ChargePoint Network,https://www.chargepoint.com,GPS,49.260387,-123.07031,2026-06-29,303662,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
CHARGEHUB EMPLO TEST CPF50,16647 Boul Hymus,Located in Garage. Not for public use.,Kirkland,QC,H9H 4R9,888-758-4389,,24 hours daily,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,45.450682,-73.842722,2026-06-29,232111,J1772,public,,Price Information not available,,0,,0
MogileTech,16647 Boulevard Hymus,,Kirkland,QC,H9H 4R9,888-493-3638,,,,,3,,ZEFNET,https://www.zefenergy.com,GPS,45.45046,-73.8424,2026-06-29,332357,J1772,public,,Price Information not available,,0,,0
SWTCH Energy Inc.,16647 Hymus Blvd,,Kirkland,QC,H9H 4R9,844-798-2438,,24 hours daily,A D Debit M V,,1,,SWTCH,https://swtchenergy.com,GPS,45.45041275,-73.84263611,2024-06-13,435809,J1772,public,,$1 per hour,,0,LD,0
Québec,1665 boul. Hamel,,Québec,QC,G1N 3Y7,888-356-8911,,24 hours daily,,,3,,FLO,https://www.flo.com,GPS,46.804445,-71.277119,2026-06-29,185406,J1772,public,,Price Information not available,,0,,0
Parc municipal chemin du Chenal-du-Moine,1665 chemin du Chenal-du-Moine,,Sainte-Anne-de-Sorel,QC,J3P 5N3,888-356-8911,,24 hours daily,,,1,,FLO,https://www.flo.com,GPS,46.062889,-73.023093,2026-06-29,137639,J1772,public,,Price Information not available,,0,,0
Cape Breton - Chéticamp Visitor Centre - Tesla Destination,16650 Cabot Trail,,Petit Étang,NS,B0E 1H0,877-798-3752,,,,,8,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,46.646225,-60.948614,2024-07-01,250935,J1772 TESLA,public,,Price Information not available,,,,0
Crombie REIT,1669 Davie St,,Vancouver,BC,V6G 1W1,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,49.2860271,-123.1394506,2026-06-29,184227,J1772,public,,Price Information not available,,0,,0
Wesgroup Properties LP,1669 E Broadway,,Vancouver,BC,V5N 1V9,,,,,,4,,Non-Networked,,GPS,49.262544,-123.070508,2025-09-12,250256,J1772,private,,Price Information not available,,,LD,1
Swtch Energy,1669 E Broadway,,Vancouver,BC,V5N 1V9,844-798-2438,,24 hours daily,A D Debit M V,,4,,SWTCH,https://swtchenergy.com,GPS,49.2625351,-123.0705991,2023-06-12,258601,J1772,public,CREDIT_CARD_ALWAYS,$2 per hour; free for tenant members,,0,,1
Ontario Power Generation,167 Burwood Rd,,Thunder Bay,ON,P7B 7A4,,,24 hours daily,A D Debit M V,,2,,Non-Networked,,GPS,48.41444353,-89.27766193,2023-04-05,206685,J1772,private,,Free,,,LD,0
Mel Lloyd Centre,167 Centre Street,,Shelburne,ON,L9V 3R8,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,44.076059,-80.199493,2026-06-29,201543,J1772,public,,Price Information not available,,0,,0
Muskoka Modern - Tesla Destination,167 Medora St,,Port Carling,ON,P0B 1J0,877-798-3752,,,,,2,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,45.111542,-79.588614,2024-07-01,116538,TESLA,public,,Price Information not available,,,,0
Parking Lot - Lakeland EV Charging,167 Ontario St,,Burk's Falls,ON,P0A 1C0,888-646-0123,,24 hours daily,A D Debit M V,,,3,LAKELAND_EV,https://lakelandevcharging.ca,GPS,45.618405,-79.408251,2025-09-12,85016,J1772,public,,$0.69 per kWh,,0,LD,0
Dudswell - Hôtel de ville,"167, rue Main",,Dudswell,QC,J0B 1G0,888-356-8911,,24 hours daily,,,1,,FLO,https://www.flo.com,GPS,45.580563,-71.571386,2026-06-29,204524,J1772,public,,Price Information not available,,0,,0
Century Village,1670 56th Street,,Delta,BC,V4L 2M7,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,49.033234,-123.066338,2026-06-29,191042,J1772,public,,Price Information not available,,0,,0
Swtch Energy,1670 Bayview Ave,,Toronto,ON,M4G 3C2,844-798-2438,,24 hours daily,A D Debit M V,,4,,SWTCH,https://swtchenergy.com,200-9,43.707548,-79.376277,2024-03-15,258711,J1772,public,CREDIT_CARD_ALWAYS,$1.50 per hour,,0,LD,0
BRCC - Franklin - Hôtel de ville,1670 route 202,,Franklin,QC,J0S 1E0,855-999-8378,,,,,,2,Circuit électrique,https://lecircuitelectrique.com,GPS,45.029,-73.9247,2026-06-29,304731,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
1670 Harenstein,"1670, Rue Hartenstein",,Montréal,QC,H4L 2N9,855-999-8378,,,,,2,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.50653221,-73.676332,2026-06-29,361224,J1772,public,,Price Information not available,,0,,0
NOVA CENTRE STATION 5,1671 Market St,Parkade Level 1 Nova Center,Halifax,NS,B3J 0B7,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,44.646682,-63.575044,2026-06-29,162930,J1772,public,,Price Information not available,,0,,0
NOVA CENTRE STATION 4,1671 Market St,Parkade Level P2,Halifax,NS,B3J 0B7,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,44.646123,-63.574829,2026-06-29,180395,J1772,public,,Price Information not available,,0,,0
NOVA CENTRE STATION 3,1671 Market St,Parkade Level 2,Halifax,NS,B3J 0B7,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,44.64671,-63.575006,2026-06-29,180396,J1772,public,,Price Information not available,,0,,0
NOVA CENTRE STATION 2,1671 Market St,Parkade Level 2 Nova Center,Halifax,NS,B3J 0B7,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,44.646322,-63.574832,2026-06-29,180397,J1772,public,,Price Information not available,,0,,0
NOVA CENTRE STATION 1,1671 Market St,Parkade Level 1 Nova Center,Halifax,NS,B3J 0B7,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,44.646419,-63.574936,2026-06-29,180398,J1772,public,,Price Information not available,,0,,0
Municipalité de Saint-Côme -  Hôtel de ville Saint-Côme,1673 55e rue,,Saint-Côme,QC,J0K 2B0,855-999-8378,,,,,4,,Circuit électrique,https://lecircuitelectrique.com,GPS,46.269122,-73.775105,2026-06-29,351595,J1772,public,,Price Information not available,,0,,0
MASSET 1 VILLAGE OFFICE,1674 Main St,,Masset,BC,V0T 1M0,888-758-4389,,24 hours daily,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,54.012287,-132.14561,2026-06-29,236604,J1772,public,,Price Information not available,,0,,0
"SÉPAQ - Aquarium du Québec - Stationnement étagé, niveau 1 Ouest",1675 Avenue des Hôtels,,Québec,QC,G1W 4S3,888-356-8911,,24 hours daily,,,5,,FLO,https://www.flo.com,GPS,46.7518702,-71.2864689,2026-06-29,440805,J1772,public,,Price Information not available,,0,,0
"SÉPAQ - Aquarium du Québec - Stationnement étagé, niveau 1 Est",1675 Avenue des Hôtels,,Québec,QC,G1W 4S3,888-356-8911,,24 hours daily,,,5,,FLO,https://www.flo.com,GPS,46.7518995,-71.2865276,2026-06-29,440806,J1772,public,,Price Information not available,,0,,0
Christina Lake Welcome Centre - Tesla Destination,1675 Highway 3,,Christina Lake,BC,V0H 1E2,877-798-3752,,,,,1,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,49.044941,-118.206592,2024-07-01,116299,TESLA,public,,Price Information not available,,,,0
FortisBC - Christina Lake Welcome Centre,1675 Highway 3,,Christina Lake,BC,V0H 1E2,888-356-8911,,24 hours daily,,,,2,FLO,https://www.flo.com,GPS,49.044584,-118.207023,2026-06-29,129965,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
Ville de Saint-Hyacinthe - 1675 St-Pierre Ouest,"1675, Rue Saint-Pierre Ouest",,Saint-Hyacinthe,QC,J2T 1P2,855-999-8378,,,,,2,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.619728,-72.941635,2026-06-29,306130,J1772,public,,Price Information not available,,0,,0
1677 Poirier,1677 Poirier,,Montréal,QC,H4L 1J2,855-999-8378,,,,,2,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.51964,-73.697318,2026-06-29,304083,J1772,public,,Price Information not available,,0,,0
GREENP CP655-001,168 Chiltern Hill Rd,,Toronto,ON,M6C 3C4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.700175,-79.427733,2026-06-29,318045,J1772,public,,Price Information not available,,0,,0
GREENP CP655-002,168 Chiltern Hill Rd,Straight down ramp,Toronto,ON,M6C 3C4,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.700166,-79.427752,2026-06-29,318046,J1772,public,,Price Information not available,,0,,0
YNCU WATERLOO 1,168 King St S,,Waterloo,ON,N2J 0G9,888-758-4389,,24 hours daily,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,43.461253,-80.520239,2026-06-29,420180,J1772,public,,Price Information not available,,0,,0
YNCU WATERLOO 3,168 King St S,,Waterloo,ON,N2J 0G9,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.461253,-80.520239,2026-06-29,420186,J1772,public,,Price Information not available,,0,,0
YNCU WATERLOO 2,168 King St S,,Waterloo,ON,N2J 0G9,888-758-4389,,24 hours daily,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,43.461253,-80.520239,2026-06-29,422087,J1772,public,,Price Information not available,,0,,0
SWTCH Energy Inc.,168 Plains Rd W,,Burlington,ON,L7T 1E8,844-798-2438,,24 hours daily,A D Debit M V,,2,,SWTCH,https://swtchenergy.com,GPS,43.30210114,-79.85790253,2024-06-13,345257,J1772,public,,$1 per hour,,0,LD,0
Camping le Saumonois,168 Rte St-Edmond,,Lac-au-Saumon,QC,G0J 1M0,855-999-8378,,,,,2,,Circuit électrique,https://lecircuitelectrique.com,GPS,48.42405294,-67.34424086,2026-06-29,357819,J1772,public,,Price Information not available,,0,,0
CISSSCA - CLSC de Montmagny,168 Rue St Joseph,,Montmagny,QC,G5V 1H8,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,46.982251,-70.553519,2026-06-29,372220,J1772,public,,Price Information not available,,0,,0
1680 St-Joseph,1680 Boulevard Saint-Joseph,,Drummondville,QC,J2C 2G3,888-356-8911,,24 hours daily,,,1,,FLO,https://www.flo.com,GPS,45.881048,-72.492891,2026-06-29,150272,J1772,public,,Price Information not available,,0,,0
Green Sun Rising Inc.,1680 Kildare Rd,,Windsor,ON,N8W 2W6,519-946-0408,,8am-4pm M-F,,,2,,Non-Networked,,200-9,42.305572,-83.001366,2024-03-15,83267,J1772,public,,Free,,0,LD,0
1680 Parthenais,1680 Parthenais,,Montreal,QC,H2K 3S4,855-999-8378,,,,,4,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.527727,-73.55232,2026-06-29,304426,J1772,public,,Price Information not available,,0,,0
FLO - Cadillac Fairview - Masonville Place,"1680 Richmond St, London, ON",,London,ON,N6G 3Y9,888-356-8911,,24 hours daily,,,2,1,FLO,https://www.flo.com,GPS,43.027706,-81.277942,2026-06-29,129472,CHADEMO J1772 J1772COMBO,public,,Price Information not available,,0,,0
Kootenay Bay Ferry Landing,16803 BC-3A,,Riondel,BC,V0B 2B0,,,24 hours daily,,,2,,Non-Networked,,GPS,49.675486,-116.872366,2026-03-30,422795,J1772,public,,Free,,0,LD,0
First Capital Asset Management LP,1681 Manitoba St,,Vancouver,BC,V5Y 1M7,,,24 hours daily,,,6,,Non-Networked,,GPS,49.27133432,-123.1062233,2025-10-13,250257,J1772,public,,Price Information not available,,0,LD,0
BC Hydro - Surrey - Tynehead,16811 96 Ave,,Surrey,BC,V4N 6A9,866-338-3369,,24 hours daily,,,,2,BCHYDRO,https://electricvehicles.bchydro.com/charge/public-charging/our-fast-charging-network,GPS,49.17748086,-122.7558665,2026-06-29,88198,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
Tourisme Alma - 1682 ave du Pont Nord,1682 ave du Pont Nord,,Alma,QC,G8B 5G3,855-999-8378,,,,,2,,Circuit électrique,https://lecircuitelectrique.com,GPS,48.581822,-71.632983,2026-06-29,353919,J1772,public,,Price Information not available,,0,,0
"Canadian Tire - Kirkland, QC",16821 Route Transcanadienne,,Kirkland,QC,H9H 5J1,888-356-8911,,24 hours daily,,,,4,FLO,https://www.flo.com,GPS,45.4551799,-73.8521417,2026-06-29,446289,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
North Island College,1685 S Dogwood St,,Campbell River,BC,V9W 8C1,250-923-9700,,24 hours daily,A D Debit M V,,2,,Non-Networked,,GPS,49.97887928,-125.2466902,2023-10-12,400721,J1772,public,CREDIT_CARD_ALWAYS,Free,,0,LD,0
Sainte-Anne-de-Sorel - Centre de Services Municipaux,"1685, chemin du Chenal-du-Moine",,Sainte-Anne-de-Sorel,QC,J3P 5N3,888-356-8911,,24 hours daily,A D Debit M V,,2,,FLO,https://www.flo.com,GPS,46.060833,-73.0225,2026-06-29,201425,J1772,public,,Price Information not available,,0,,0
FRASER HEALTH 66 AVE 2,16850 66 Ave,Turn right as you enter the parking lot,Surrey,BC,V3S 5M1,888-758-4389,,Mon: 5:15am-6:15pm; Tue: 5:15am-6:15pm; Wed: 5:15am-6:15pm; Thu: 5:15am-6:15pm; Fri: 5:15am-6:15pm; Sat: 5:15am-6:15pm; Sun: 5:15am-6:15pm,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.121696,-122.7544,2026-06-29,457621,J1772,public,,Price Information not available,,0,,0
FRASER HEALTH 66 AVENUE,16850 66 Avenue,The station is to your right as you enter the parking lot,Surrey,BC,V3S 5M1,888-758-4389,,Mon: 5:15am-6:15pm; Tue: 5:15am-6:15pm; Wed: 5:15am-6:15pm; Thu: 5:15am-6:15pm; Fri: 5:15am-6:15pm; Sat: 5:15am-6:15pm; Sun: 5:15am-6:15pm,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.122117,-122.755454,2026-06-29,457620,J1772,public,,Price Information not available,,0,,0
CITY OF SURREY GHAC-STN1,16855 24 Ave,,Surrey,BC,V3S 0A2,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,49.046618,-122.755087,2026-06-29,213349,J1772,public,,Price Information not available,,0,,0
BC Hydro - Masset,1686 Main St,,Masset,BC,V0T 1M0,866-338-3369,,24 hours daily,,,,2,BCHYDRO,https://electricvehicles.bchydro.com/charge/public-charging/our-fast-charging-network,GPS,54.0124432,-132.1452421,2026-06-29,254957,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
VW OF NEWMARKET VW NEWMARKET 1,16885 Leslie St,,Newmarket,ON,L3Y 9A1,888-758-4389,,24 hours daily,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,44.050386,-79.426967,2026-06-29,163009,J1772,public,,Price Information not available,,0,,0
FORMULE MAZDA EXTéRIEUR,169 Bd Sainte-Anne,Outside service entrance,Rimouski,QC,G5M 1C3,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,48.490924,-68.489883,2026-06-29,232595,J1772,public,,Price Information not available,,0,,0
FORMULE MAZDA STATION 2,169 Bd Sainte-Anne,Inside service bays,Rimouski,QC,G5M 1C3,888-758-4389,,24 hours daily,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,48.49089,-68.48959,2026-06-29,232630,J1772,public,,Price Information not available,,0,,0
Princeton Visitor Center - Tesla Destination,169 Bridge St,,Princeton,BC,V0X 1W0,877-798-3752,,,,,3,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,49.459804,-120.507055,2024-07-01,116362,J1772 TESLA,public,,Price Information not available,,,,0
Collège de Valleyfield,169 Champlain,,Salaberry-de-Valleyfield,QC,J6T 1X6,855-999-8378,,,,,2,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.252907,-74.133173,2026-06-29,305150,J1772,public,,Price Information not available,,0,,0
Scotiabank,169 John St N,,Arnprior,ON,K7S 2N8,613-623-7314,,24 hours daily,CREDIT,,,1,Non-Networked,,200-9,45.434577,-76.352803,2017-10-03,87664,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
Canso Public Library,169 Main St,,Canso,NS,B0H 1H0,902-366-2955,,24 hours daily,,,1,,Non-Networked,,200-9,45.334031,-60.998944,2023-04-05,83415,J1772,public,,Free,,0,LD,0
FLO - Canadian Tire - Sherwood Park,169 Ordze Ave,,Sherwood Park,AB,T8B 1M6,888-356-8911,,24 hours daily,,,2,1,FLO,https://www.flo.com,GPS,53.511586,-113.324818,2026-06-29,130094,CHADEMO J1772 J1772COMBO,public,,Price Information not available,,0,,0
Collège de Valleyfield,169 rue Champlain,,Valleyfield,QC,J6T 1X6,855-999-8378,,,,,1,,Circuit électrique,https://lecircuitelectrique.com,GPS,45.25322582,-74.13300421,2026-06-29,305151,J1772,public,,Price Information not available,,0,,0
CISSSCA - MDA de Saint-Martin,"169, 1re Ave Est",,St-Martin de Beauce,QC,G0M 1B0,888-356-8911,,24 hours daily,,,2,,FLO,https://www.flo.com,GPS,45.95475,-70.653629,2026-06-29,308741,J1772,public,,Price Information not available,,0,,0
BRCC - Thurso - Café chez Léo,"169, Rue Galipeau",,Thurso,QC,J0X 3B0,855-999-8378,,,,,,2,Circuit électrique,https://lecircuitelectrique.com,GPS,45.6002343,-75.2437413,2026-06-29,304962,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
DURHAMCOLLEGE WHITBY EV1,1690 Champlain Ave,test,Whitby,ON,L1N 9B2,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.871041,-78.900635,2026-06-29,259530,J1772,public,,Price Information not available,,0,,0
Golden Nordic Ski Club Society,1690 Hector Trail,,Golden,BC,V0A 1H0,800-636-0986,,,,,2,,CHARGELAB,https://chargelab.co,GPS,51.305778,-117.058827,2026-06-29,360081,J1772,public,,Price Information not available,,0,,0
Red River College Notre Dame Campus - Winnipeg,1690 King Edward St,,Winnipeg,MB,R2R 2V6,855-567-5853,,24 hours daily,,,,1,JULE,https://www.julepower.com,GPS,49.91901,-97.20692,2025-10-13,82838,J1772,public,,Free; parking fee required,,1,LD,0
AURA Kirkland,16900 Trans-Canada Hwy,,Kirkland,QC,H9H 4M7,888-356-8911,,24 hours daily,,,,8,FLO,https://www.flo.com,GPS,45.452612,-73.855139,2026-06-29,306314,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
DON VALLEY VW FAST CHARGER,1695 Eglinton Ave E,,Toronto,ON,M4A 1J6,888-758-4389,,24 hours daily,A D Debit M V,,,1,ChargePoint Network,https://www.chargepoint.com,GPS,43.725685,-79.315331,2026-06-29,371881,CHADEMO J1772COMBO,public,,Price Information not available,,0,,0
DON VALLEY VW L2 CHARGER,1695 Eglinton Ave E,,Toronto,ON,M4A 1J6,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,43.725925,-79.315267,2026-06-29,372712,J1772,public,,Price Information not available,,0,,0
NOVA CENTRE STATION 6,1695 Grafton St,Parkade Level 1 Nova Center,Halifax,NS,B3J 0E7,888-758-4389,,24 hours daily,,,2,,ChargePoint Network,https://www.chargepoint.com,GPS,44.646705,-63.575052,2026-06-29,162928,J1772,public,,Price Information not available,,0,,0
Universite Sainte-Anne,1695 Route 1,,Pointe-de-l'Eglise,NS,B0W 1M0,902-769-2114,,24 hours daily; for students and staff only,,,1,,Non-Networked,,200-9,44.333003,-66.116962,2025-04-09,84888,J1772,public,CALL,Free,,1,LD,0
