Station_ID  (PK),Station_name,Station_phone ,Location_ID (FK),Network_ID (FK),Access_code,Access_Detail_code,Access_Day_time,EV_Pricing,Date_last_confirmed,Maximum_Vehicle_Class,Ev_Workplace_charging ,Restricted_access
84546,Commission des Normes de l'Equite de la Sante et de la Securite du Travail,,155,1,private,,For employee use only,Free,11/13/2025,LD,TRUE,
84553,CUBE Global Storage,250-727-9811,3325,11,public,,24 hours daily; see inside for card key access,Free,2/13/2026,LD,FALSE,FALSE
84554,Industrielle Alliance,,14481,10,private,,24 hours daily; for employee use only,Free,12/12/2022,MD,TRUE,
84555,George's Auto Repair,519-842-7058,12293,33,public,,8am-5pm M-F,Free,3/30/2026,LD,FALSE,FALSE
84558,Delta Energy Solutions,,1832,11,private,CALL,9am-5pm M-F; primarily for client and employee use,Free,2/12/2024,LD,TRUE,
84559,Guillevin International,418-543-4459,1659,2,public,,24 hours daily,Free,3/30/2026,MD,FALSE,FALSE
84561,Erabliere Pain de Sucre,514-592-2180,10550,11,public,,24 hours daily,Free,4/10/2020,,FALSE,FALSE
84566,Rimouski Nissan,418-723-3554,7798,5,public,,Dealership business hours (Mid-March-Nov),Free,3/12/2026,LD,FALSE,TRUE
84579,Community Services Building,250-550-3634,7797,5,public,CREDIT_CARD_ALWAYS,24 hours daily,Free,4/14/2024,LD,FALSE,FALSE
84589,Intralec Electrical Products,905-670-0970,10115,10,public,,9am-5pm M-F; Go inside to request key,Free,5/13/2024,,FALSE,FALSE
84648,Green Storage,,12945,2,private,,8am-8pm daily; tenants only,,5/13/2024,LD,FALSE,
84650,Toby's Liquor Store,,6114,1,private,,For owner use only,Free,8/9/2022,LD,TRUE,
84651,Green Storage,905-427-5211,1255,9,public,,"9am-6pm M-F, 9am-5pm Sat","Free for tenant use;
$5 per session for public",4/5/2023,MD,TRUE,FALSE
84654,Mic Mac Mall,,7769,5,public,,"9:30am-9pm M-Sat, 12pm-5pm Sun",Free,8/9/2022,HD,FALSE,FALSE
84661,Beaudry & Lapointe Ford,819-333-2266,1917,2,public,,24 hours daily; for client use only,,3/12/2026,LD,TRUE,TRUE
84662,Berube Chevrolet Cadillac Buick GMC,418-862-6324,13425,6,public,,24 hours daily; App,Free,4/10/2020,MD,FALSE,FALSE
84664,Bureau d'Accueil Touristique,819-265-2046,4071,2,public,,24 hours daily,Free,4/10/2020,,FALSE,FALSE
84668,Hotel Blackfoot,403-252-2253,917,9,public,,24 hours daily; for guest use only,Free,2/13/2026,LD,FALSE,TRUE
84674,Chateau Mont-Sainte-Anne,418-827-5211,1256,9,public,,24 hours daily; for guest use only,Free,8/9/2019,,FALSE,TRUE
84678,Commission Scolaire Sir-Wilfrid-Laurier - Ecole Arundel,,5389,1,private,,For employee use only,Free,11/2/2021,HD,TRUE,
84680,Etablissement de Detention de Roberval,,5855,7,private,,24 hours daily; For visitor use only,Free,3/30/2026,LD,TRUE,
84683,Garage Ville Alma,,1826,11,private,GOVERNMENT,For municipal vehicles only,Free,11/9/2023,LD,TRUE,
84684,Gervais Auto,819-538-3375,9261,2,public,CALL,7am-9pm M-F; Only for employees,Free,4/10/2020,,TRUE,TRUE
84685,Gravel Chevrolet Buick Cadillac GMC,514-769-5353,7770,5,public,,24 hours daily; for client use only,,3/12/2026,MD,FALSE,TRUE
84689,Hotel Roquemont,418-337-6734,11679,5,public,,8am-5pm W-Sun; hours vary based on the season,Free for guests and restaurant clients,3/30/2026,LD,FALSE,TRUE
84690,Hotel de Ville-Sorel-Tracy,,11560,9,public,,For municipal vehicles and visitors,Free,1/12/2024,MD,TRUE,FALSE
84693,Laurentides Nissan,819-326-5433,13826,5,public,CALL,24 hours daily,Free,4/10/2020,,TRUE,FALSE
84696,"Drummondville, QC - Tesla Supercharger",877-798-3752,7430,5,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
84706,Municipalite de la Macaza,819-275-2077,13624,5,public,,24 hours daily; one port is for inspector use only,Free,3/30/2026,LD,TRUE,TRUE
84707,Municipalite St-Adelphe,418-322-5721,3540,2,public,,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
84711,Restaurant Mikes,418-856-5454,4289,10,public,,24 hours daily,$2 per hour,3/30/2026,MD,FALSE,FALSE
84715,Hôtel de Ville,,4289,10,private,,24 hours daily; for employee only,Free,3/30/2026,LD,TRUE,
84718,St-Onge Ford,819-538-3391,6523,10,public,,Business hours only; for client use only,Free,3/12/2026,HD,FALSE,TRUE
84719,Vignoble Coteau Rougemont,450-469-3090,6523,10,public,KEY_ALWAYS,"12pm-5pm, Mon-Sat; ask for key card at reception",Free for customers,3/30/2026,LD,FALSE,FALSE
84722,Ville de Becancour Municipal Services Center,819-294-6500,6523,10,public,,9am-9pm daily,Free,3/30/2026,LD,FALSE,FALSE
84726,Town of Sidney - Public Works Yard,,6523,10,private,,For employee use only,,4/10/2020,,TRUE,
84732,Centre de l'Auto Sillery,,6523,10,private,,24 hours daily; For employee use and company fleet,$1 per hour,3/30/2026,HD,TRUE,
84738,Hotel le Petit Manoir du Casino,418-665-0000,8801,5,public,,24 hours daily; for guests and employees only,Free,3/30/2026,LD,TRUE,TRUE
84744,British Columbia Institute of Technology - Parking Lot 7,604-434-5734,14490,5,public,,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,Free,10/10/2019,,FALSE,FALSE
84746,Holiday Park Resort,250-766-4255,7952,5,public,CALL,24 hours daily; for guest use only; must call security for access after 8pm,Free,7/7/2025,LD,FALSE,TRUE
84748,Town of Sidney - Tulista Parking Lot,250-656-1184,12753,2,public,,Lot business hours,Free,4/10/2020,,FALSE,FALSE
84772,Country Grocer - Tesla Destination,877-798-3752,13021,5,public,,,,7/1/2024,LD,FALSE,FALSE
84774,Best Western Bonnyville Inn & Suites,780-826-6226,12949,2,public,CALL,24 hours daily; for guest use only,Free,2/13/2026,LD,FALSE,TRUE
84777,Seton Marriott – Lot #467,,470,1,public,,24 hours daily; for guest use only,Free,2/13/2026,LD,FALSE,TRUE
84779,Bow Mitsubishi,,1036,9,private,,"7:30am-5:30pm M-F, 9am-3pm Sat; For client use only",Free,2/13/2026,LD,FALSE,
84780,The Fairmont - Banff Springs,403-762-2211,7432,5,public,,24 hours daily; for guest use only; see valet for access,,11/6/2024,LD,FALSE,TRUE
84838,Hotel Forestel,819-825-5660,7891,5,public,,24 hours daily; for client use only,Free,2/13/2026,LD,FALSE,TRUE
84839,Hotel Universel,418-862-9520,13446,2,public,,24 hours daily,Free,3/11/2019,,TRUE,FALSE
84840,Buffinga Electric,519-233-3340,13446,2,public,,24 hours daily,Free,5/6/2021,,FALSE,FALSE
84847,Fanshawe College,519-452-4401,12280,33,public,,24 hours daily; for employee use only,,2/13/2026,LD,FALSE,TRUE
84848,La Salicorne,418-985-2833  888-537-4537,6212,2,public,,24 hours daily; for client use only,Free,3/12/2026,HD,FALSE,TRUE
84850,S/X Video & PC Connection,519-919-7272,1872,2,public,,24 hours daily,Free,6/6/2025,LD,FALSE,FALSE
84851,Green Storage,905-476-7273,10150,27,public,,24 hours daily,"Free for tenant use;
$5 per session for public",2/12/2024,LD,FALSE,FALSE
84855,Dormani Nissan,819-243-5454,10150,27,public,,"7:30am-9pm M-F, 9am-5pm Sat; for client use only",Free,3/12/2026,LD,FALSE,TRUE
84858,Ramada Plaza Manoir du Casino,800-296-9046,3963,14,public,,24 hours daily; for clients only,Free,3/30/2026,LD,FALSE,TRUE
84862,Merritt Information Centre,250-378-0349,1039,9,public,CREDIT_CARD_ALWAYS,24 hours daily,Free,8/12/2025,LD,FALSE,FALSE
84867,Motel Saint-Pascal,418-492-3522,588,1,public,,24 hours daily; for guest use only,$1 per hour,3/30/2026,LD,TRUE,TRUE
84868,McDonald's,418-854-3758,1037,9,public,KEY_ALWAYS,5am-12am daily; Activation card must be requested from McDonald's,Free,3/30/2026,LD,FALSE,FALSE
84873,Alma Nissan,,1040,9,private,,For service use only,Free,3/12/2026,LD,FALSE,
84874,St-Onge Ford la Tuque,819-523-6144,486,1,public,,Dealership business hours; for client use only,,3/12/2026,MD,FALSE,TRUE
84884,Bluefrog Business Campus,902-468-5247,1166,10,public,,24 hours daily,Free,8/3/2021,,TRUE,FALSE
84888,Universite Sainte-Anne,902-769-2114,7441,5,public,CALL,24 hours daily; for students and staff only,Free,4/9/2025,LD,FALSE,TRUE
84894,T'Sou-ke Nation,250-642-3957,7442,5,public,,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
84895,Pacific Institute For Climate Solutions,250-853-3595,8019,5,public,,24 hours daily; parking fee required,Free,9/12/2025,LD,FALSE,TRUE
84897,Westburne Electric,,1038,9,private,,For private use only,Free,9/12/2025,LD,TRUE,
84898,Slemon Park Hotel,902-432-1780,1041,9,public,,24 hours daily for guests,Free,3/30/2026,LD,FALSE,TRUE
84901,Courtenay Nissan,250-338-1988,588,9,public,,"8:30am-6pm M-F, 8:30am-5:30pm Sat; customers only",Free,7/7/2025,LD,FALSE,TRUE
84904,Gulf Pacific Pacific Management Ltd,604-990-1500,1618,2,private,,24 hours daily; for private use,Free,10/12/2023,LD,TRUE,
84906,North Vancouver Nissan,,6554,13,private,,7am-5pm M-Sat; for service department only,Free,8/9/2022,LD,TRUE,
84910,Boyer Ajax Chevrolet Buick GMC,905-427-2500,12143,5,private,CALL,"9am-8pm M-Th, 9am-5:30pm F-Sat; For service center use only",Free,3/30/2026,LD,FALSE,
84913,Brampton Mitsubishi,,5589,9,private,,"9am-8pm M-Th, 9am-6pm F-Sat",,3/30/2026,LD,FALSE,
84914,Brantford Pediatrics,519-512-0030,4675,10,public,,24 hours daily,Free,10/3/2017,,FALSE,FALSE
84917,Bennett Chevrolet,,4675,10,private,,24 hours daily; dealership customers have priority,Free,3/7/2025,LD,FALSE,
84921,South London Infiniti Nissan,519-685-5497,14080,2,public,CALL,9am-8pm daily; service department use is prioritized,Free,2/13/2026,LD,FALSE,TRUE
84922,London Mitsubishi,,14081,2,private,,For service department use only,,2/13/2026,LD,FALSE,
84924,TD Canada Trust,519-660-0070,3424,2,public,,24 hours daily,Free,11/8/2019,,FALSE,FALSE
84925,TD Canada Trust,519-668-3504,9133,2,public,,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
84926,Finch Chevrolet Cadillac Buick GMC,,13897,4,private,,Dealership business hours,Free,2/13/2026,LD,FALSE,
84927,BMO Bank,519-667-6303,12379,1,public,,24 hours daily,Free,10/13/2025,LD,FALSE,FALSE
84928,Milton Nissan,905-878-4137,6876,5,public,CALL,"7:30am-9pm M-Th, 7:30am-6pm F, 8am-5pm Sat; For clients only",Free,6/6/2025,LD,FALSE,TRUE
84931,Lange Transport,905-362-1290,7873,5,public,,24 hours daily,Free,3/30/2026,HD,FALSE,FALSE
84933,Oak-Land Ford Lincoln,,12487,1,private,,Dealership business hours,Free,4/9/2025,LD,FALSE,
84934,Alta Nissan,905-780-7771,43,1,public,CALL,"8am-9pm M-Th, 8am-6pm F-Sat; for customers use only",,2/13/2026,LD,FALSE,TRUE
84935,Town of Richmond Hill,905-771-8800,11409,7,public,,24 hours daily; 3 hour limit,Free,2/13/2026,LD,TRUE,FALSE
84936,Town of Richmond Hill,905-771-8800,6404,2,public,,24 hours daily; 3 hour limit,Free,2/13/2026,LD,TRUE,FALSE
84939,New Limburg Brewing Co,519-707-4141,12833,10,public,CALL,9am-11pm; customers only,Free,6/6/2025,LD,FALSE,TRUE
84942,Forest City Castings Inc,519-633-2999,12834,10,public,,24 hours daily,Free,4/12/2021,,FALSE,FALSE
84943,DeGroot-Hill Chevrolet Buick GMC,519-842-9026,1830,11,public,,8am-5pm M-F; For client use only,,2/13/2026,LD,FALSE,TRUE
84944,First Canadian Place,416-862-6129,11298,5,public,,24 hours daily,$2 per kWh; parking fee required,2/13/2026,LD,FALSE,FALSE
84952,Waterloo Nissan,,11111,8,private,,Dealership hours only,,4/9/2025,LD,FALSE,
84963,Serrurier Plus,,5374,2,private,,For fleet use only,Up to $2 per hour for customers; Free for employees,3/30/2026,MD,TRUE,
84964,Albi Nissan Vaudreuil,,5828,10,public,,Dealership business hours; for client use only,,3/12/2026,LD,FALSE,TRUE
84967,Riverside Chevrolet,613-342-5244,5828,10,private,,Dealership business hours; Drivers must bring their own J1772 cordset for Level 1 charging,,3/30/2026,LD,FALSE,
84968,Laplante Chevrolet Buick GMC,866-393-5922,1230,6,public,CALL,24 hours daily,Free,3/30/2026,HD,FALSE,FALSE
84970,Seaway Chevrolet Cadillac Buick GMC,,13,1,private,,,,3/7/2025,LD,FALSE,
84973,Myers Orleans Chevrolet Buick GMC,,10475,2,private,,Dealership business hours; for service use only,Free,2/13/2026,LD,FALSE,
84974,National Arts Centre,613-947-7000 x488,10475,2,public,,24 hours daily,Parking fee required,2/13/2026,LD,FALSE,FALSE
84977,Peterborough Mitsubishi,705-748-5050,13412,10,public,CALL,24 hours daily,Free,3/7/2025,LD,FALSE,TRUE
84988,Morrey Nissan,,11573,9,private,,24 hours daily,,10/13/2025,LD,FALSE,
84990,Simon Fraser University - Cornerstone Building,6047632453,12511,1,public,,Business hours; parking fee required,Free,10/12/2023,LD,FALSE,FALSE
84991,TD Canada Trust,604-927-5700,1405,2,public,,24 hours daily; for customers only,Free,7/7/2025,LD,FALSE,TRUE
84993,West Coast Nissan,,6099,2,private,,"9am-9pm M-Th, 9am-6pm F-Sat, 11am-5pm Sun",Free,8/9/2022,MD,TRUE,
84995,Jim Pattison Hyundai,604-629-8252,4723,10,private,,,,9/12/2025,MD,FALSE,
84996,Surrey Memorial Hospital - Emergency Parking Lot,604-581-2211,2681,10,public,,24 hours daily; parking fee required,Free,8/15/2024,LD,TRUE,FALSE
84997,Electrum Charging Solutions,,1875,2,private,,Employee use only,Free,10/12/2023,,TRUE,
84998,Barnes Wheaton GM,604-536-7661,10671,10,public,,24 hours daily; for client and employee use only,Free,9/12/2025,LD,TRUE,TRUE
85006,La Salle du Conseil,450-463-7311,10672,10,public,,24 hours daily,Free,3/30/2026,MD,FALSE,FALSE
85009,Ville de Varennes,,4314,10,private,GOVERNMENT,For municipal vehicles only,Free,3/30/2026,MD,TRUE,
85013,Alcoa Deschambault Smelter,418-286-5287,12046,2,private,,For employee use only,Free,11/9/2022,HD,TRUE,
85014,Hotel de Ville,819-326-2674,7371,5,public,,24 hours daily,Free,3/30/2026,MD,FALSE,FALSE
85016,Commission Scolaire Sir-Wilfrid-Laurier - Ecole Morin Heights,,1868,2,private,,For employee use only,Free,3/30/2026,LD,TRUE,
85019,Paroisse Saint-Sauveur,819-536-2655,7701,5,public,,24 hours daily,Free; parking fee of $1 per hour,3/30/2026,MD,TRUE,FALSE
85030,"Canmore, AB - Tesla Supercharger",877-798-3752,12869,15,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
85034,"Fort MacLeod, AB - Tesla Supercharger",877-798-3752,7938,5,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
85050,"Merritt, BC - Tesla Supercharger",877-798-3752,1551,2,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
85067,"Revelstoke, BC - Tesla Supercharger",877-798-3752,13042,5,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
85109,"Barrie, ON - Tesla Supercharger",877-798-3752,1550,2,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
85126,Tim Horton's,,1540,2,public,,24 hours daily,,4/5/2023,LD,FALSE,FALSE
85127,Tim Horton's,519-358-1049,8412,5,public,,24 hours daily,,3/7/2025,LD,FALSE,FALSE
85135,Embrun Arena,613-443-2814,8562,5,public,,24 hours daily,Free,3/30/2026,LD,FALSE,FALSE
85148,"Grimsby, ON - Tesla Supercharger",877-798-3752,9603,5,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
85155,"Huntsville, ON - Tesla Supercharger",877-798-3752,12988,5,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
85163,"Kingston, ON - Tesla Supercharger",877-798-3752,3015,2,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
85188,Hilton Mississauga,905-821-1981,3014,2,public,,24 hours daily; for guest use only,,2/13/2026,LD,FALSE,TRUE
85193,Tim Horton's,705-647-8288,14206,5,public,,24 hours daily,Free,1/12/2024,LD,FALSE,FALSE
85198,Tim Horton's,905-295-6800,8658,5,public,,5am-11pm daily,Free,6/6/2025,LD,FALSE,FALSE
85200,Tim Horton's,705-495-1669,1868,5,public,,24 hours daily,,1/13/2025,LD,FALSE,FALSE
85207,"Parry Sound, ON - Tesla Supercharger",877-798-3752,8659,5,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
85216,Tim Horton's,519-332-3200,10982,5,public,,24 hours daily,,2/13/2026,LD,FALSE,FALSE
85226,Tim Horton's,519-688-0896,13577,5,public,,24 hours daily,Free,4/9/2025,LD,FALSE,FALSE
85228,ImPark,416-369-1809,9617,5,public,,24 hours daily,$12 per hour,4/10/2020,,FALSE,FALSE
85231,Humber River Hospital,416-243-6990,11009,10,public,KEY_ALWAYS,24 hours daily,Parking fee required,3/4/2022,LD,FALSE,FALSE
85241,ImPark - University Centre,416-369-1801,9123,2,public,,5am-6pm; parking fee required,"$5 first hour, $0.20 per min after first hour",3/4/2022,LD,FALSE,FALSE
85253,ImPark - Yorkville Village,416-369-1808,5781,10,public,,24 hours daily,$12 per hour; $3 fee,4/12/2021,,FALSE,FALSE
85293,Best Western - Seven Oaks Inn,306-757-0121,12686,2,public,CALL,24 hours daily; call front desk,Free,6/10/2022,LD,FALSE,TRUE
85315,ImPark - Atria,416-369-1801,2107,11,public,,24 hours daily,Level 2: $12 per hour; DC Fast: $24 per hour,3/4/2022,LD,FALSE,FALSE
85323,Resto-Bar le Cinquante Cinq,819-233-2929,12693,2,public,,24 hours daily,Free,3/30/2026,HD,FALSE,FALSE
85324,La Municipalite de Cap-St-Ignace,418-246-5631,7771,5,public,,24 hours daily,Free,4/12/2021,,FALSE,FALSE
85330,Town of Sidney - Iroquois Park,250-656-1184,13338,6,public,,9am-10pm daily,Free,4/10/2020,,FALSE,FALSE
85333,Hotel et Suites le Dauphin,800-668-5911,7433,5,public,,24 hours daily; for guest use only,Free,3/30/2026,LD,FALSE,TRUE
85336,Familiprix,450-836-8288,12173,5,public,,24 hours daily,Free,8/9/2019,,FALSE,FALSE
85338,Joliette Nissan,,7434,5,public,,7:30am-9pm M-F; for client use only,Free,3/12/2026,LD,TRUE,TRUE
85339,Napa Autopro - Garage Julien Perreault Inc,450-467-8404,10098,5,public,,"8am-6pm M-Th, 8am-12pm F; for client use only",Free,3/12/2026,HD,FALSE,TRUE
85341,Garage Remy Lapierre Autopro,450-792-2131,14542,5,public,,24 hours daily; for client use only,Free,3/12/2026,MD,FALSE,TRUE
85349,"Squamish, BC - Tesla Supercharger",877-798-3752,14541,5,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
85366,"Red Deer, AB - Tesla Supercharger",877-798-3752,592,1,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
85784,Peace Energy Co-op,250-782-3882,14543,5,public,,24 hours daily,Free,7/7/2025,LD,FALSE,FALSE
86805,"Nanaimo, BC - Tesla Supercharger",877-798-3752,5097,10,public,,24 hours daily. Open to Teslas only.,,6/18/2026,,TRUE,FALSE
86832,Causeway Bay Hotel,902-436-2157,5097,10,public,,24 hours daily,Free,7/7/2025,LD,FALSE,TRUE
86833,Summerside Electric Light Plant,,6461,11,private,,Employee use only,,1/14/2026,LD,TRUE,
86834,St. Eleanor Community Centre,902-432-1287,3511,2,public,,24 hours daily,,12/12/2025,LD,FALSE,FALSE
87663,Tim Horton's,905-648-5222,3517,2,public,CREDIT_CARD_ALWAYS,24 hours daily,,7/12/2023,LD,FALSE,FALSE
87664,Scotiabank,613-623-7314,3523,2,public,,24 hours daily,,10/3/2017,,FALSE,FALSE
87665,Scotiabank Bancroft,866-816-7584,3522,2,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
87668,Scotiabank Burlington,866-816-7584,3515,2,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88036,Mont Sutton,866-538-2545,3516,2,public,,8am-7pm daily; for guest use only,Free,12/10/2024,LD,FALSE,TRUE
88062,Scotiabank,807-623-5626,3510,2,public,,24 hours daily,Free,4/12/2021,,FALSE,FALSE
88063,Scotiabank,705-268-8030,3514,2,public,,24 hours daily,Free,4/12/2021,,FALSE,FALSE
88075,Warwick Arena,519-876-2808,9457,5,public,,24 hours daily,$2.00 start fee and $0.38 per kWh,2/13/2026,MD,FALSE,FALSE
88193,BC Hydro - Surrey (South) - Superstore,866-338-3369,9749,5,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88194,BC Hydro - Richmond - Superstore,866-338-3369,5613,2,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88195,BC Hydro - Nanaimo - Superstore,866-338-3369,3288,10,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88196,BC Hydro - Qualicum Beach - Quality Foods,866-338-3369,3288,10,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88197,BC Hydro - Port Alberni - No Frills,866-338-3369,9551,1,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88198,BC Hydro - Surrey - Tynehead,866-338-3369,12477,1,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88200,BC Hydro - Pacific Rim Visitor Centre,866-338-3369,12486,1,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88201,BC Hydro - Coquitlam (Central) - Superstore,866-338-3369,9550,1,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88202,BC Hydro - Courtenay - Superstore,866-338-3369,9449,2,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88203,BC Hydro - Vancouver - Grandview Hwy - Superstore,866-338-3369,9449,2,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88204,BC Hydro - Mission - Superstore,866-338-3369,9474,11,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88205,BC Hydro - Vancouver (South) - Superstore,866-338-3369,1562,2,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88207,BC Hydro - Campbell River - Community Centre,866-338-3369,1563,2,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88208,BC Hydro - Sidney - Beacon Plaza,866-338-3369,8083,5,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88209,BC Hydro - Vancouver - Downtown - Homer St,866-338-3369,3972,2,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88223,Qualicum Foods,250-752-9281  250-248-4004,2057,2,public,,24 hours daily,Free,8/9/2022,LD,FALSE,FALSE
88661,Eau Claire Tower,403-206-6437,3391,2,public,,6am-5pm; Parking fee required; Drivers must bring their own J1772 cordset for Level 1 charging,Free,12/9/2019,,FALSE,FALSE
88662,ImPark,416-868-3781,6427,2,public,,24 hours daily; 3 hour limit,Free,4/13/2022,LD,FALSE,FALSE
88663,ImPark,416-868-3781,14399,2,public,,24 hours daily; 3 hour limit,Free,4/13/2022,LD,FALSE,FALSE
88666,Indigo Parking - Edmonton City Centre,780-809-4615,8660,5,public,CREDIT_CARD_ALWAYS,24 hours daily,$5.70 per hour; pay lot,3/30/2026,LD,FALSE,FALSE
88667,Devon Tower,,8661,5,private,,Drivers must bring their own J1772 cordset for Level 1 charging,Free,4/9/2019,,TRUE,
88669,La Laurentienne Building,888-356-8911,8662,5,public,,24 hours daily,free,9/11/2019,,FALSE,FALSE
88688,Scotiabank Mattawa,866-816-7584,8663,5,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
88690,Scotiabank,905-276-5900,11242,2,public,,24 hours daily,Free,4/12/2021,,FALSE,FALSE
89925,Gateway Village,250-727-6333,9931,8,public,,24 hours daily; for customer use only,Free,12/12/2025,LD,FALSE,TRUE
89927,Royal Oak,250-727-6333,5655,10,public,,24 hours daily; for customer use only,Free,9/12/2025,LD,FALSE,TRUE
91168,Ogden Point Charger,250-886-8035,12805,6,public,,24 hours daily,Free,5/15/2020,,FALSE,FALSE
91182,Wheatberries Bakery,604-886-9155,2055,12,public,,24 hours daily,Free,7/11/2024,LD,FALSE,FALSE
91184,Tim Hortons- North Van,604-924-9897,2034,6,public,,24 hours daily,Free,5/15/2020,,FALSE,FALSE
91392,THE NATIONAL THE NATIONAL,888-758-4389,9587,2,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
91401,FESTIVAL TOWER EV 3,888-758-4389,4837,10,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
91455,PARKING GARAGE LEVEL 6A - 4,888-758-4389,4836,10,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
91577,SFU DISCOVERY,888-758-4389,918,9,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
91596,GRAND VILLA NORTH PARKADE,888-758-4389,6146,4,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
91604,300 DUFFERIN CITY HALL LLNG,888-758-4389,10581,2,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
91620,CITY OF SURREY CITYHALL-L2-3,888-758-4389,920,9,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
91647,CITYOFVANCOUVER MAINLAND,888-758-4389,13511,2,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
91654,GROUSE MOUNTAIN STATION 1,888-758-4389,919,9,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
91880,City of Kelowna - Okanagan Heritage Museum,,1862,7,private,,For OGO Car Share use only,Free,8/15/2024,LD,FALSE,
91896,Pub St-Alex,418-970-0506,1249,9,public,,24 hours daily,$1 per hour,3/12/2026,LD,FALSE,FALSE
91897,Bourgeois Chevrolet,,1250,9,public,,8am-7pm M-F; client use is preferred,,3/12/2026,LD,FALSE,TRUE
91990,Albi Nissan Vaudreuil,,14042,5,private,,For employee use only,,3/12/2026,LD,TRUE,
91994,Biotope Aliments Sante,,9954,2,private,,For employee use only,Free,3/30/2026,LD,TRUE,
92528,STAION1 CPF25 SHOP,888-758-4389,921,9,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
92553,VANCOUVER INTL TMP-EV-05-06,888-758-4389,14646,21,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
93802,MOI 479 GOV ST,888-758-4389,142,1,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
94380,University of Guelph - Lot 23,519-824-4120 x52118,5796,2,public,,24 hours daily; 4 hours max,$3.50 parking fee required,3/12/2026,LD,FALSE,FALSE
94465,Commission des Normes de l'Equite de la Sante et de la Securite du Travail,,9011,5,private,,For employe use only,Free,11/13/2025,LD,TRUE,
94466,Commission des Normes de l'Equite de la Sante et de la Securite du Travail,,7436,5,private,GOVERNMENT,For employee use only; availabe 24 hours daily,Free,10/13/2025,LD,TRUE,
94467,Commission des Normes de l'Equite de la Sante et de la Securite du Travail,,12916,5,private,GOVERNMENT,For employee use only; availabe 24 hours daily,Free,10/13/2025,LD,TRUE,
94468,Commission des Normes de l'Equite de la Sante et de la Securite du Travail,,14571,10,private,GOVERNMENT,For employee use only; availabe 24 hours daily,Free,10/13/2025,LD,TRUE,
94469,Commission des Normes de l'Equite de la Sante et de la Securite du Travail,,14571,10,private,,For employee use only; availabe 24 hours daily,Free,10/13/2025,LD,TRUE,
94470,Tim Horton's,905-465-1214,8592,5,public,,24 hours daily,,4/9/2025,LD,FALSE,FALSE
94474,Scotiabank Pembroke,866-816-7584,8124,5,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
94484,Scotiabank Smith Falls,866-816-7584,7783,5,public,,24 hours daily,,6/29/2026,,FALSE,FALSE
